flux,wavelength,var
35.656734,4111.472,0.23304243
37.987534,4112.4204,0.21852294
38.95409,4113.3667,0.21414666
43.08408,4114.3125,0.19650166
44.694576,4115.2617,0.19268233
41.205067,4116.208,0.21117422
42.138054,4117.157,0.21223535
43.0221,4118.1045,0.2108417
43.35754,4119.054,0.20883332
36.40998,4120.0015,0.22757122
35.135048,4120.949,0.2299221
39.537037,4121.9,0.21690269
42.557095,4122.848,0.20965439
44.66664,4123.799,0.2067757
45.053043,4124.747,0.21075352
41.82651,4125.6987,0.21928427
44.16141,4126.648,0.21283267
44.62092,4127.597,0.2080609
38.276535,4128.549,0.23087086
37.540348,4129.4985,0.23562317
42.660576,4130.4507,0.22401202
45.377964,4131.4014,0.21692742
40.468426,4132.354,0.22704673
39.749294,4133.304,0.231953
41.86516,4134.2554,0.22391808
39.73109,4135.2085,0.2305078
